DATE,MNTM,TPCP
200001,46.12,496.4
200002,51.73,197.28
200003,58.56,518.35
200004,60.1,479.95
200005,73.86,147.89
200006,77.45,381.61
200007,81.96,220.01
200008,81.16,243.29
200009,73.99,355.95
200010,64.72,76.01
200011,52.81,802.32
200012,38.88,410.57
200101,40.67,483.78
200102,51.93,415.81
200103,51.19,1015.37
200104,64.44,398.38
200105,70.5,420.22
200106,75.85,720.97
200107,79.66,440.08
200108,78.65,570.95
200109,72.09,473.58
200110,60.61,319.09
200111,58.75,351.59
200112,50.43,421.43
200201,46.57,519.86
200202,45.6,296.41
200203,54.64,577.58
200204,66.35,218.04
200205,70.25,442.21
200206,77.21,382.21
200207,80.44,551.33
200208,80.0,337.49
200209,77.4,785.19
200210,67.98,535.22
200211,51.01,506.58
200212,44.74,662.25
200301,39.71,238.77
200302,47.68,694.62
200303,57.31,458.55
200304,63.19,609.87
200305,71.61,945.53
200306,75.61,793.57
200307,78.59,822.51
200308,79.65,582.01
200309,73.35,374.29
200310,63.67,155.6
200311,58.12,487.29
200312,43.81,348.2
200401,43.78,351.99
200402,44.81,703.36
200403,58.68,233.85
200404,61.03,325.2
200405,72.73,411.52
200406,76.71,722.71
200407,79.22,461.17
200408,76.38,442.06
200409,73.8,684.54
200410,68.16,380.42
200411,57.58,859.93
200412,44.57,504.0
200501,48.68,281.43
200502,50.26,511.62
200503,52.8,608.54
200504,60.92,787.7
200505,67.87,305.4
200506,76.55,608.72
200507,80.4,948.3
200508,80.69,599.9
200509,77.0,326.73
200510,63.76,61.14
200511,55.7,372.63
200512,42.73,400.8
200601,50.65,535.12
200602,45.23,493.64
200603,55.53,306.2
200604,67.26,356.57
200605,70.14,434.48
200606,77.8,205.94
200607,81.88,346.88
200608,82.45,394.98
200609,72.8,391.96
200610,61.72,520.48
200611,52.63,481.49
200612,48.91,396.19
200701,46.15,429.63
200702,44.15,276.64
200703,59.73,149.38
200704,59.8,370.61
200705,71.14,85.49
200706,78.84,270.95
200707,79.16,521.7
200708,84.63,281.79
200709,75.97,333.08
200710,66.57,399.08
200711,53.36,292.19
200712,50.76,415.73
200801,42.26,424.58
200802,48.15,596.41
200803,54.54,431.33
200804,62.42,466.68
200805,69.75,528.12
200806,78.57,283.68
200807,80.01,417.1
200808,78.51,897.27
200809,74.53,184.78
200810,62.11,300.55
200811,50.69,308.56
200812,48.83,729.82
200901,44.25,472.65
200902,47.38,415.51
200903,56.65,850.62
200904,60.99,444.78
200905,70.87,861.65
200906,78.99,285.53
200907,77.86,579.79
200908,78.01,573.15
200909,74.81,779.4
200910,62.33,766.11
200911,53.01,441.29
200912,44.24,991.82
201001,39.18,633.43
201002,39.64,424.52
201003,50.5,544.13
201004,63.74,311.61
201005,72.91,664.59
201006,80.6,353.63
201007,82.56,356.35
201008,83.12,522.18
201009,76.74,172.0
201010,63.97,282.9
201011,54.86,490.41
201012,39.66,232.61
201101,40.42,419.34
201102,48.55,341.18
201103,57.16,821.8
201104,65.2,542.44
201105,69.64,180.91
201106,81.14,384.36
201107,81.64,566.54
201108,81.79,197.85
201109,71.96,794.76
201110,60.41,78.75
201111,55.13,459.46
201112,48.91,517.47
201201,49.52,578.79
201202,51.29,437.56
201203,64.0,526.96
201204,64.72,194.99
201205,73.14,431.37
201206,76.84,414.77
201207,81.71,623.53
201208,78.2,593.4
201209,72.84,528.59
201210,62.32,300.7
201211,51.08,143.27
201212,50.74,642.87
201301,49.4,702.13
201302,47.26,840.95
201303,49.12,390.05
201304,61.93,572.33
201305,67.98,451.34
201306,77.89,594.17
201307,77.59,931.15
201308,77.86,570.38
201309,75.04,359.12
201310,64.89,146.09
201311,51.27,352.69
201312,47.59,794.61
201401,36.72,284.85
201402,46.48,591.22
201403,51.71,540.16
201404,62.16,993.92
201405,70.03,423.48
201406,77.87,569.12
